day,days,total,female,reg,leisure,dist,time
1/1,2,0,0,0,0,0,0
1/2,2,0,0,0,0,0,0
1/3,2,0,0,0,0,0,0
1/4,2,0,0,0,0,0,0
1/5,2,0,0,0,0,0,0
1/6,2,0,0,0,0,0,0
1/7,2,0,0,0,0,0,0
1/8,2,0,0,0,0,0,0
1/9,2,0,0,0,0,0,0
1/10,2,0,0,0,0,0,0
1/11,2,0,0,0,0,0,0
1/12,2,0,0,0,0,0,0
1/13,2,0,0,0,0,0,0
1/14,2,0,0,0,0,0,0
1/15,2,0,0,0,0,0,0
1/16,2,0,0,0,0,0,0
1/17,2,0,0,0,0,0,0
1/18,2,0,0,0,0,0,0
1/19,2,0,0,0,0,0,0
1/20,2,0,0,0,0,0,0
1/21,2,0,0,0,0,0,0
1/22,2,0,0,0,0,0,0
1/23,2,0,0,0,0,0,0
1/24,2,0,0,0,0,0,0
1/25,2,0,0,0,0,0,0
1/26,2,0,0,0,0,0,0
1/27,2,0,0,0,0,0,0
1/28,2,0,0,0,0,0,0
1/29,2,0,0,0,0,0,0
1/30,2,0,0,0,0,0,0
1/31,2,0,0,0,0,0,0
2/1,2,0,0,0,0,0,0
2/2,2,0,0,0,0,0,0
2/3,2,0,0,0,0,0,0
2/4,2,0,0,0,0,0,0
2/5,2,0,0,0,0,0,0
2/6,2,0,0,0,0,0,0
2/7,2,0,0,0,0,0,0
2/8,2,0,0,0,0,0,0
2/9,2,0,0,0,0,0,0
2/10,2,0,0,0,0,0,0
2/11,2,0,0,0,0,0,0
2/12,2,0,0,0,0,0,0
2/13,2,0,0,0,0,0,0
2/14,2,0,0,0,0,0,0
2/15,2,0,0,0,0,0,0
2/16,2,0,0,0,0,0,0
2/17,2,0,0,0,0,0,0
2/18,2,0,0,0,0,0,0
2/19,2,0,0,0,0,0,0
2/20,2,0,0,0,0,0,0
2/21,2,0,0,0,0,0,0
2/22,2,0,0,0,0,0,0
2/23,2,0,0,0,0,0,0
2/24,2,0,0,0,0,0,0
2/25,2,0,0,0,0,0,0
2/26,2,0,0,0,0,0,0
2/27,2,0,0,0,0,0,0
2/28,2,0,0,0,0,0,0
3/1,2,0,0,0,0,0,0
3/2,2,0,0,0,0,0,0
3/3,2,0,0,0,0,0,0
3/4,2,0,0,0,0,0,0
3/5,2,0,0,0,0,0,0
3/6,2,0,0,0,0,0,0
3/7,2,0,0,0,0,0,0
3/8,2,0,0,0,0,0,0
3/9,2,0,0,0,0,0,0
3/10,2,0,0,0,0,0,0
3/11,2,0,0,0,0,0,0
3/12,2,0,0,0,0,0,0
3/13,2,1,1,1,1,0.28,3
3/14,2,0,0,0,0,0,0
3/15,2,338,62,308,137,554.49,11156
3/16,2,277,39,241,93,427.22,3208
3/17,2,485,50,234,306,941.56,15070
3/18,2,1051,100,344,832,"3,316.59",44932
3/19,2,673,104,509,281,"1,547.18",16213
3/20,2,862,150,643,357,"1,801.6",17489
3/21,2,1127,207,878,441,"2,366.71",20986
3/22,2,1354,237,900,622,"2,723.73",27551
3/23,2,1564,246,1042,767,"4,060.19",43744
3/24,2,1046,155,507,615,"2,298.91",40432
3/25,2,476,84,344,170,706.17,13911
3/26,2,759,139,697,166,"1,097.92",7987
3/27,2,788,139,707,145,"1,058.86",7606
3/28,2,832,144,707,213,"1,216.43",10130
3/29,2,915,164,826,190,"1,265.4",31122
3/30,2,1113,192,928,329,"1,784.32",18548
3/31,2,634,98,404,285,"1,066.67",73015
4/1,2,766,121,460,377,"1,663.14",20743
4/2,2,1809,315,1630,465,"2,682.45",26814
4/3,2,2449,441,2105,734,"3,931.74",36990
4/4,2,3000,523,2496,852,"4,993.05",47940
4/5,2,3192,532,2577,1035,"5,817.38",50984
4/6,2,2783,437,1885,1226,"7,313.76",75382
4/7,2,2285,341,1285,1135,"4,623.66",59204
4/8,2,3157,494,2373,1126,"5,526.73",52435
4/9,2,3675,636,2921,1168,"6,195.71",104530
4/10,2,3711,672,3051,1036,"5,992.39",47575
4/11,2,3508,659,2989,979,"5,614.91",52241
