date,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
7/28/2011,0,6,0,0,0,0,4,3,8,21,3,3,8,9,16,11,3,11,3,2,10,3,5,3,7,4,4,8,5,7,1,0,3,3,1,1,6,2,1,6,2,0,1,0,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
7/29/2011,0,0,0,0,0,0,1,2,9,12,8,3,10,5,16,8,7,10,4,6,1,6,2,2,8,5,4,6,1,7,2,3,4,9,2,4,6,4,2,0,0,1,2,1,0,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/30/2011,0,0,0,0,0,0,0,4,5,4,4,2,6,3,3,2,10,12,7,11,0,4,4,4,1,3,0,1,1,2,0,0,3,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/31/2011,0,0,0,0,0,0,6,5,3,10,1,2,8,3,5,6,6,1,7,8,0,5,0,3,4,2,1,0,1,2,0,0,2,1,0,1,0,2,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
8/1/2011,0,0,0,0,2,0,2,9,9,11,9,8,13,16,11,8,3,10,8,13,8,9,3,4,2,9,5,7,2,6,3,1,3,3,1,3,10,4,3,1,0,2,2,2,4,5,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
8/2/2011,0,5,0,0,0,0,1,7,8,7,6,16,12,10,18,15,14,8,12,13,12,8,3,4,5,10,4,10,4,12,5,5,10,5,2,8,7,5,2,6,2,2,3,2,4,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/3/2011,0,0,0,0,0,0,2,7,7,10,13,6,14,14,18,11,11,12,19,11,13,13,5,7,5,3,4,11,5,9,3,3,11,2,2,7,10,8,9,9,1,1,4,0,1,4,0,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8/4/2011,0,0,0,0,2,2,11,12,10,19,9,16,24,15,23,14,14,10,11,14,15,10,7,8,12,9,7,16,4,11,7,6,6,5,4,10,8,12,17,6,2,2,2,0,4,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8/5/2011,0,0,0,0,1,7,4,11,18,26,37,19,32,15,29,25,19,23,15,17,15,14,17,13,19,14,15,11,15,15,6,14,12,4,3,7,16,10,10,10,7,6,5,4,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
